"","Date","Open","Close","Gibanje"
"1419",2010-11-12,11281.28,11192.58,0
"1420",2010-11-11,11326.69,11283.1,0
"1421",2010-11-10,11342.81,11357.04,1
"1422",2010-11-09,11403.59,11346.75,0
"1423",2010-11-08,11439.54,11406.84,0
"1424",2010-11-05,11435.22,11444.08,1
"1425",2010-11-04,11216.65,11434.84,1
"1426",2010-11-03,11184.88,11215.13,1
"1427",2010-11-02,11125.22,11188.72,1
"1428",2010-11-01,11120.3,11124.62,1
"1429",2010-10-29,11120.45,11118.49,0
"1430",2010-10-28,11127.34,11113.95,0
"1431",2010-10-27,11168.4,11126.28,0
"1432",2010-10-26,11163.14,11169.46,1
"1433",2010-10-25,11133.4,11164.05,1
"1434",2010-10-22,11146.41,11132.56,0
"1435",2010-10-21,11105.24,11146.57,1
"1436",2010-10-20,10974.52,11107.97,1
"1437",2010-10-19,11139.6,10978.62,0
"1438",2010-10-18,11062.63,11143.69,1
"1439",2010-10-15,11096.01,11062.78,0
"1440",2010-10-14,11096.99,11094.57,0
"1441",2010-10-13,11022.82,11096.08,1
"1442",2010-10-12,11010.79,11020.4,1
"1443",2010-10-11,11006.93,11010.34,1
"1444",2010-10-08,10948.5,11006.48,1
